City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,68.16,56,75,8.05,broken clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,43.48,70,100,6.89,overcast clouds
2,Auchel,FR,50.5034,2.4735,63.1,82,100,5.17,overcast clouds
3,Flin Flon,CA,54.7682,-101.865,60.17,82,93,4.0,overcast clouds
4,Harpanahalli,IN,14.8,75.9833,72.32,85,100,12.44,overcast clouds
5,Nome,US,64.5011,-165.4064,44.67,93,100,12.66,light rain
6,Hermanus,ZA,-34.4187,19.2345,59.81,84,100,11.1,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,16.11,clear sky
8,Norsup,VU,-16.0667,167.3833,77.7,84,100,9.33,moderate rain
9,Hobart,AU,-42.8794,147.3294,60.26,71,75,8.05,broken clouds
10,Ponta Do Sol,PT,32.6667,-17.1,65.03,67,36,5.23,scattered clouds
11,Evensk,RU,61.95,159.2333,46.72,87,99,10.78,overcast clouds
12,Bethel,US,41.3712,-73.414,61.03,95,99,1.01,overcast clouds
13,Hithadhoo,MV,-0.6,73.0833,83.91,68,30,9.19,scattered clouds
14,Vestmanna,FO,62.1564,-7.1664,49.12,87,75,9.22,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,75.7,73,12,13.76,few clouds
16,Saravan,AM,39.7196,45.6483,51.58,80,41,3.56,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,35.26,93,100,23.02,light rain
18,Cape Town,ZA,-33.9258,18.4232,60.12,95,75,6.91,mist
19,Aasiaat,GL,68.7098,-52.8699,35.38,88,99,3.78,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,43.48,53,96,1.63,overcast clouds
21,Tynset,NO,62.2759,10.7824,56.82,74,100,9.48,overcast clouds
22,Upernavik,GL,72.7868,-56.1549,34.03,85,100,11.1,overcast clouds
23,Bowen,AU,-20.0167,148.2333,72.3,63,4,17.69,clear sky
24,Arbagar,RU,51.9438,116.2805,70.41,50,18,8.84,few clouds
25,Abonnema,NG,4.7084,6.7931,74.28,91,100,2.77,overcast clouds
26,Castro,BR,-24.7911,-50.0119,58.95,89,0,4.56,clear sky
27,Minab,IR,27.1467,57.0801,88.12,74,48,2.3,scattered clouds
28,Asau,RO,46.4333,26.4,50.92,73,71,5.14,broken clouds
29,Tiksi,RU,71.6872,128.8694,39.88,61,100,22.15,overcast clouds
30,Marietta,US,33.9526,-84.5499,89.46,59,20,9.22,few clouds
31,Pevek,RU,69.7008,170.3133,43.65,63,100,10.38,overcast clouds
32,Hami,CN,42.8,93.45,93.88,8,32,1.77,scattered clouds
33,Butaritari,KI,3.0707,172.7902,81.73,76,99,10.54,light rain
34,Rio Cuarto,AR,-33.1307,-64.3499,40.48,60,93,5.48,overcast clouds
35,Wawa,NG,9.9022,4.4192,72.75,93,65,5.61,light rain
36,Moissala,TD,8.3404,17.7663,71.17,93,73,5.5,moderate rain
37,Albany,US,42.6001,-73.9662,63.18,80,99,7.81,overcast clouds
38,Vestmannaeyjar,IS,63.4427,-20.2734,46.89,73,100,2.64,overcast clouds
39,Tazovskiy,RU,67.4667,78.7,72.03,44,41,11.7,scattered clouds
40,Coihaique,CL,-45.5752,-72.0662,25.41,86,0,1.14,clear sky
41,Oussouye,SN,12.485,-16.5469,81.25,82,98,4.68,overcast clouds
42,Faya,SA,18.3851,42.4509,68.11,58,87,3.76,overcast clouds
43,Vaini,TO,-21.2,-175.2,77.16,61,20,11.5,few clouds
44,Provideniya,RU,64.3833,-173.3,41.36,100,100,18.01,mist
45,North Bend,US,43.4065,-124.2243,70.25,87,100,26.46,overcast clouds
46,Saint Pete Beach,US,27.7253,-82.7412,84.02,64,43,1.01,scattered clouds
47,Bredasdorp,ZA,-34.5322,20.0403,58.03,88,100,7.38,overcast clouds
48,Le Port,RE,-20.9373,55.2919,67.24,59,6,7.9,clear sky
49,Tacoronte,ES,28.4769,-16.4102,59.41,87,75,10.36,broken clouds
50,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,8.05,scattered clouds
51,Taksimo,RU,56.3444,114.8794,55.18,89,100,2.89,overcast clouds
52,Barkot,IN,30.8167,78.2,77.36,46,12,0.58,few clouds
53,Tommot,RU,58.9564,126.2925,66.61,67,99,2.19,overcast clouds
54,New Norfolk,AU,-42.7826,147.0587,59.92,80,100,5.99,overcast clouds
55,Kichmengskiy Gorodok,RU,59.9816,45.7854,52.16,95,100,3.44,overcast clouds
56,Cidreira,BR,-30.1811,-50.2056,61.11,97,99,4.41,overcast clouds
57,Kapaa,US,22.0752,-159.319,79.48,76,8,1.99,clear sky
58,Boulsa,BF,12.6675,-0.5758,79.21,62,39,7.58,scattered clouds
59,Chicama,PE,-7.8447,-79.1469,59.54,81,12,5.88,few clouds
60,Yulara,AU,-25.2406,130.9889,61.79,36,0,5.79,clear sky
61,Huntsville,US,34.7304,-86.5861,87.6,65,0,4.0,clear sky
62,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,96,5.01,overcast clouds
63,Fort Nelson,CA,58.8053,-122.7002,56.79,94,100,8.05,light intensity shower rain
64,Grand Gaube,MU,-20.0064,57.6608,70.2,76,23,3.0,few clouds
65,Kaifeng,CN,34.7911,114.3483,83.84,70,91,8.55,light rain
66,Barreirinha,BR,-2.7933,-57.07,74.39,82,19,3.33,few clouds
67,Leningradskiy,RU,69.3833,178.4167,52.5,51,90,7.7,overcast clouds
68,Atuona,PF,-9.8,-139.0333,78.22,61,20,19.62,few clouds
69,Gizo,SB,-8.103,156.8419,84.96,67,91,5.01,overcast clouds
70,Mondragone,IT,41.1141,13.8935,76.93,72,0,6.91,clear sky
71,Iqaluit,CA,63.7506,-68.5145,38.93,75,75,3.44,broken clouds
72,Port Alfred,ZA,-33.5906,26.891,62.85,72,88,5.46,overcast clouds
73,Busselton,AU,-33.65,115.3333,59.02,90,100,10.74,light rain
74,Ribeira Grande,PT,38.5167,-28.7,65.21,82,96,17.11,overcast clouds
75,Bang Len,TH,14.0219,100.1718,88.99,62,100,6.87,overcast clouds
76,Mar Del Plata,AR,-38.0023,-57.5575,42.94,68,36,4.61,scattered clouds
77,Sitka,US,57.0531,-135.33,53.49,82,100,5.75,overcast clouds
78,Mitu,CO,1.1983,-70.1733,71.62,96,100,1.43,overcast clouds
79,Senno,RU,59.5336,33.9167,48.15,79,8,1.66,clear sky
80,Agua Verde,MX,22.9,-106.05,82.35,77,77,7.58,broken clouds
81,Torbay,CA,47.6666,-52.7314,59.77,76,40,12.66,scattered clouds
82,Lalmohan,BD,22.3384,90.7419,84.06,76,100,12.55,overcast clouds
83,Ketchikan,US,55.3422,-131.6461,54.93,65,100,4.72,overcast clouds
84,Lebu,CL,-37.6167,-73.65,48.22,90,100,8.59,heavy intensity rain
85,Yatou,CN,37.15,122.3833,72.01,98,100,7.54,heavy intensity rain
86,Norman Wells,CA,65.282,-126.8329,75.24,22,20,13.8,few clouds
87,Sur,OM,22.5667,59.5289,85.53,68,43,14.07,scattered clouds
88,Coquimbo,CL,-29.9533,-71.3436,58.73,72,40,13.8,scattered clouds
89,Barrow,US,71.2906,-156.7887,42.82,87,100,11.5,overcast clouds
90,Margate,GB,51.3813,1.3862,61.3,91,15,3.0,few clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,90.61,69,50,10.4,scattered clouds
92,Clyde River,CA,70.4692,-68.5914,34.03,93,100,17.27,light snow
93,Kodiak,US,57.79,-152.4072,59.31,70,1,4.32,clear sky
94,Tuatapere,NZ,-46.1333,167.6833,49.19,59,81,3.94,broken clouds
95,Daokou,CN,35.5639,114.5058,85.33,61,91,0.83,overcast clouds
96,Georgetown,MY,5.4112,100.3354,82.89,90,20,5.01,few clouds
97,Husavik,IS,66.0449,-17.3389,39.18,81,100,14.61,overcast clouds
98,Juneau,US,58.3019,-134.4197,57.22,90,100,0.0,overcast clouds
99,Nikolskoye,RU,59.7035,30.7861,55.8,74,71,3.31,broken clouds
100,Tiarei,PF,-17.5333,-149.3333,78.82,72,53,10.71,broken clouds
101,Sheridan,US,44.8333,-106.9173,74.91,33,1,1.83,clear sky
102,Marienburg,PL,54.0359,19.0266,54.88,86,9,1.83,clear sky
103,Severo-Kurilsk,RU,50.6789,156.125,48.45,87,79,17.63,broken clouds
104,Carnarvon,AU,-24.8667,113.6333,69.55,67,0,10.58,clear sky
105,Dunedin,NZ,-45.8742,170.5036,51.8,56,98,1.99,overcast clouds
106,Baheri,IN,28.7833,79.5,90.5,37,0,4.61,clear sky
107,Junin,AR,-34.5838,-60.9433,37.8,60,80,6.26,broken clouds
108,Dikson,RU,73.5069,80.5464,37.81,92,100,17.6,light rain
109,Mahebourg,MU,-20.4081,57.7,70.09,73,40,8.05,scattered clouds
110,Cherskiy,RU,68.75,161.3,55.54,68,100,7.4,light rain
111,Vila Velha,BR,-20.3297,-40.2925,73.35,93,40,5.75,scattered clouds
112,Bluff,NZ,-46.6,168.3333,43.81,57,84,6.26,broken clouds
113,Kindu,CD,-2.95,25.95,69.44,95,70,0.54,light rain
114,Iuna,BR,-20.3458,-41.5358,59.9,75,1,1.72,clear sky
115,Ugoofaaru,MV,5.6667,73.0,82.89,74,84,10.42,broken clouds
116,Kavieng,PG,-2.5744,150.7967,83.53,71,100,3.78,light rain
117,Umm Bab,QA,25.2142,50.8072,89.08,46,0,5.44,clear sky
118,Codrington,AU,-38.2667,141.9667,59.25,68,100,18.3,overcast clouds
119,Bijie,CN,27.3125,105.2942,70.05,86,100,5.35,moderate rain
120,Halifax,CA,44.6453,-63.5724,55.69,94,2,8.05,clear sky
121,Biloela,AU,-24.4167,150.5,71.01,40,0,8.1,clear sky
122,Abu Zabad,SD,12.35,29.25,82.0,48,13,5.84,few clouds
123,Lamu,KE,-2.2717,40.902,77.56,78,42,18.45,scattered clouds
124,Nicolas Bravo,MX,18.45,-88.9167,74.19,93,6,3.98,clear sky
125,Bara,NG,10.3744,10.7288,74.89,73,82,3.13,broken clouds
126,Nishihara,JP,26.1842,127.7558,87.85,79,20,12.66,few clouds
127,Port Lincoln,AU,-34.7333,135.8667,63.46,54,4,21.14,clear sky
128,Cabras,IT,39.93,8.5314,79.86,73,100,3.2,overcast clouds
129,Garachine,PA,8.0647,-78.3628,78.26,85,100,3.78,overcast clouds
130,The Pas,CA,53.8251,-101.2541,60.82,88,100,3.44,overcast clouds
131,Kutum,SD,14.2,24.6667,79.88,20,19,9.53,few clouds
132,Pangnirtung,CA,66.1451,-65.7125,45.79,67,0,1.72,clear sky
133,Auki,SB,-8.7676,160.7034,86.68,62,10,1.99,clear sky
134,Hilo,US,19.7297,-155.09,85.28,85,87,1.99,overcast clouds
135,San Patricio,US,28.017,-97.5169,86.85,69,0,11.23,clear sky
136,Tasiilaq,GL,65.6145,-37.6368,29.1,81,12,5.57,few clouds
137,Mantua,IT,45.1667,10.7833,72.55,87,2,3.0,clear sky
138,Kaitangata,NZ,-46.2817,169.8464,46.26,48,80,2.82,broken clouds
139,East London,ZA,-33.0153,27.9116,62.04,78,100,9.46,overcast clouds
140,Hasaki,JP,35.7333,140.8333,75.6,85,95,10.74,overcast clouds
141,Kahului,US,20.8947,-156.47,79.84,77,100,13.0,overcast clouds
142,Raga,SS,8.4596,25.678,70.48,83,54,4.34,broken clouds
143,Alice Springs,AU,-23.7,133.8833,62.15,45,0,11.5,clear sky
144,Amazar,RU,53.858,120.875,57.78,98,100,2.46,light rain
145,Yerbogachen,RU,61.2767,108.0108,72.75,42,35,6.49,scattered clouds
146,Tomatlan,MX,19.9333,-105.25,78.98,82,100,1.68,overcast clouds
147,Atar,MR,20.5169,-13.0499,90.54,32,3,9.62,clear sky
148,Bumba,CD,2.1833,22.4667,70.21,96,79,0.74,broken clouds
149,Neftcala,AZ,39.3742,49.2472,76.06,56,91,19.73,overcast clouds
150,Uhlove,UA,44.8215,33.6045,65.01,71,75,17.34,light rain
151,Victoria,HK,22.2855,114.1577,88.32,74,31,8.01,scattered clouds
152,Uglovskoye,RU,51.3557,80.1942,77.31,35,24,12.37,few clouds
153,Ouango,CF,4.3133,22.5552,68.99,99,100,1.63,overcast clouds
154,Adrar,MR,20.5022,-10.0711,88.05,30,0,11.39,clear sky
155,Mattawa,US,46.7379,-119.9028,87.8,22,17,15.99,few clouds
156,Deputatskiy,RU,69.3,139.9,48.47,35,13,16.78,few clouds
157,Saskylakh,RU,71.9167,114.0833,52.3,42,71,8.7,broken clouds
158,Kruisfontein,ZA,-34.0033,24.7314,56.88,60,92,6.44,overcast clouds
159,Gamba,GA,-2.65,10.0,67.82,91,4,4.12,clear sky
160,Marondera,ZW,-18.1853,31.5519,40.84,86,0,2.82,clear sky
161,Glenwood Springs,US,39.5505,-107.3248,83.21,43,40,6.91,scattered clouds
162,Anchorage,US,61.2181,-149.9003,80.85,42,40,13.8,scattered clouds
163,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds
164,Sandwick,GB,60.0,-1.25,51.62,93,100,18.41,overcast clouds
165,Yebaishou,CN,41.3975,119.6408,80.51,47,0,6.42,clear sky
166,Klaksvik,FO,62.2266,-6.589,50.92,84,99,17.02,overcast clouds
167,Nizhniy Kuranakh,RU,58.8353,125.4869,68.25,59,80,8.5,broken clouds
168,Kenai,US,60.5544,-151.2583,76.03,38,0,13.8,clear sky
169,Maralal,KE,1.0968,36.698,56.98,77,96,5.03,overcast clouds
170,Mount Gambier,AU,-37.8333,140.7667,57.11,88,75,14.97,broken clouds
171,Nioro,GM,13.35,-15.75,83.75,71,51,5.12,broken clouds
172,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,88,0,18.75,clear sky
173,Povenets,RU,62.8487,34.8262,51.82,79,100,4.27,overcast clouds
174,Karachi,PK,24.9056,67.0822,82.22,61,40,4.61,haze
175,Nalut,LY,30.3333,10.85,81.91,14,0,14.88,clear sky
176,Marawi,PH,7.9986,124.2928,81.79,60,71,0.78,broken clouds
177,Sicamous,CA,50.8331,-118.9856,77.97,43,34,7.87,scattered clouds
178,Kavaratti,IN,10.5669,72.642,81.72,80,100,18.75,light rain
179,Nailsea,GB,51.4324,-2.7585,64.42,77,9,2.3,clear sky
180,Talcahuano,CL,-36.7167,-73.1167,49.68,87,100,12.66,moderate rain
181,Berdigestyakh,RU,62.0989,126.6992,79.2,35,25,12.12,scattered clouds
182,Hay River,CA,60.8156,-115.7999,55.36,54,75,10.36,broken clouds
183,Grindavik,IS,63.8424,-22.4338,46.35,87,75,21.85,broken clouds
184,Fukuma,JP,33.7667,130.4667,89.29,71,27,14.47,scattered clouds
185,Sampit,ID,-2.5333,112.95,80.46,80,93,3.27,overcast clouds
186,Wau,SS,7.7029,27.9953,71.89,81,58,4.88,broken clouds
187,Bilibino,RU,68.0546,166.4372,64.26,33,100,22.55,overcast clouds
188,Chuy,UY,-33.6971,-53.4616,51.96,68,100,9.69,overcast clouds
189,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,17.27,broken clouds
190,Vuktyl,RU,63.8567,57.3094,50.63,87,100,5.77,overcast clouds
191,Komsomolskiy,UZ,40.4272,71.7189,70.52,60,100,6.91,light rain
192,Great Bend,US,38.3645,-98.7648,76.03,81,75,16.11,broken clouds
193,Geraldton,AU,-28.7667,114.6,61.21,88,0,11.5,clear sky
194,Abu Kamal,SY,34.4506,40.9171,80.78,38,0,18.99,clear sky
195,Saint-Philippe,RE,-21.3585,55.7679,63.99,80,87,15.93,light rain
196,Khatanga,RU,71.9667,102.5,54.93,35,92,12.55,overcast clouds
197,Vila,PT,42.0304,-8.1588,49.69,93,93,3.51,overcast clouds
198,Bastia,FR,42.6667,9.3333,75.29,83,0,2.3,clear sky
199,Yellowknife,CA,62.456,-114.3525,70.32,30,20,9.22,few clouds
200,Bonavista,CA,48.6499,-53.1147,52.14,86,79,10.0,broken clouds
201,Codajas,BR,-3.8367,-62.0569,76.23,80,89,1.99,overcast clouds
202,Payo,ID,-3.7508,103.6372,76.14,92,91,0.43,overcast clouds
203,Paralimni,CY,35.0375,33.9833,80.15,46,0,7.0,clear sky
204,Mozarlandia,BR,-14.7447,-50.5706,71.65,43,11,3.87,few clouds
205,Nikolayevka,RU,53.1257,47.2041,61.32,97,97,3.18,overcast clouds
206,Atocha,BO,-20.9333,-66.2333,33.84,17,0,14.79,clear sky
207,San Andres,CO,12.5847,-81.7006,82.42,83,40,11.5,scattered clouds
208,Constitucion,CL,-35.3333,-72.4167,51.94,93,100,16.89,light rain
209,Bima,ID,-8.4667,118.7167,85.12,64,99,7.2,overcast clouds
210,Qaanaaq,GL,77.484,-69.3632,37.78,66,47,1.05,scattered clouds
211,Trairi,BR,-3.2778,-39.2689,71.96,93,100,5.55,overcast clouds
212,Hokitika,NZ,-42.7167,170.9667,50.31,53,100,2.06,overcast clouds
213,Lahan,NP,26.7296,86.4951,86.65,66,0,9.28,clear sky
214,Cumaral,CO,4.2708,-73.4867,71.26,94,75,3.76,broken clouds
215,Mezhdurechensk,RU,53.6942,88.0603,68.79,88,44,4.76,scattered clouds
216,Sitrah,BH,26.1547,50.6206,91.36,71,0,3.44,clear sky
217,Hirara,JP,24.8,125.2833,86.27,74,40,12.66,scattered clouds
218,Saint George,US,37.1041,-113.5841,90.63,20,0,14.97,clear sky
219,Itoman,JP,26.1247,127.6694,88.57,81,20,12.66,few clouds
220,Nelson Bay,AU,-32.7167,152.15,61.09,66,77,5.01,broken clouds
221,Katsuura,JP,35.1333,140.3,73.51,88,63,10.65,broken clouds
222,Awbari,LY,26.5921,12.7805,83.07,19,0,9.42,clear sky
223,Pisco,PE,-13.7,-76.2167,62.65,77,100,10.36,overcast clouds
224,Usinsk,RU,65.9939,57.5281,47.35,84,100,13.2,overcast clouds
225,Alta Floresta,BR,-9.8756,-56.0861,72.64,52,72,1.14,broken clouds
226,Taoudenni,ML,22.6783,-3.9836,96.49,22,0,12.97,clear sky
227,Boo,SE,59.3333,18.2833,59.77,91,90,5.75,overcast clouds
228,Rio Gallegos,AR,-51.6226,-69.2181,35.65,75,0,16.11,clear sky
229,Aklavik,CA,68.2191,-135.0107,77.88,26,100,12.33,overcast clouds
230,Amarante Do Maranhao,BR,-5.5667,-46.7422,71.44,80,0,3.18,clear sky
231,Faanui,PF,-16.4833,-151.75,80.11,67,13,9.31,few clouds
232,Eregli,TR,37.5133,34.0467,62.74,55,0,4.34,clear sky
233,Aborlan,PH,9.4352,118.5492,80.67,69,87,5.1,overcast clouds
234,Port Macquarie,AU,-31.4333,152.9167,64.89,44,1,1.59,clear sky
