City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Euclides Da Cunha,-10.5075,-39.0158,76.95,49,13,6.93,BR,2022-06-22 19:34:51
1,Hermanus,-34.4187,19.2345,57.79,81,96,6.22,ZA,2022-06-22 19:34:51
2,Bethel,41.3712,-73.414,63.03,94,100,5.75,US,2022-06-22 19:31:35
3,Iquitos,-3.7481,-73.2472,84.24,74,75,5.75,PE,2022-06-22 19:33:09
4,Kaitangata,-46.2817,169.8464,32.79,73,72,3.96,NZ,2022-06-22 19:34:52
5,Chernyshevskiy,63.0128,112.4714,55.96,53,95,1.14,RU,2022-06-22 19:34:52
6,Buala,-8.145,159.5921,79.59,82,19,4.41,SB,2022-06-22 19:34:53
7,Terney,45.0503,136.6092,55.17,99,100,3.65,RU,2022-06-22 19:34:53
8,Punta Arenas,-53.15,-70.9167,41.11,70,40,19.57,CL,2022-06-22 19:32:31
9,Rikitea,-23.1203,-134.9692,74.84,75,11,11.01,PF,2022-06-22 19:34:53
10,Emerald,-23.5333,148.1667,52.23,72,0,8.21,AU,2022-06-22 19:34:54
11,Busselton,-33.65,115.3333,61.7,87,100,8.01,AU,2022-06-22 19:34:54
12,Bluff,-46.6,168.3333,38.26,73,100,8.05,NZ,2022-06-22 19:34:55
13,Poum,-20.2333,164.0167,72.41,62,100,6.85,NC,2022-06-22 19:34:55
14,Avarua,-21.2078,-159.775,80.65,78,75,14.97,CK,2022-06-22 19:34:55
15,Tuktoyaktuk,69.4541,-133.0374,57.2,54,75,2.3,CA,2022-06-22 19:34:56
16,Baruun-Urt,46.6806,113.2792,57.43,74,13,4.43,MN,2022-06-22 19:34:35
17,Merauke,-8.4667,140.3333,77.34,87,86,15.95,ID,2022-06-22 19:34:56
18,Upernavik,72.7868,-56.1549,33.78,90,100,10.13,GL,2022-06-22 19:34:56
19,Dakar,14.6937,-17.4441,82.53,78,20,16.11,SN,2022-06-22 19:34:17
20,Kempsey,-31.0833,152.8333,40.95,95,0,3.0,AU,2022-06-22 19:34:57
21,Ushuaia,-54.8,-68.3,40.62,81,40,33.38,AR,2022-06-22 19:34:57
22,Tongliao,43.6125,122.2653,67.05,92,100,4.25,CN,2022-06-22 19:34:57
23,Marawi,7.9986,124.2928,68.79,93,100,2.68,PH,2022-06-22 19:34:58
24,Noumea,-22.2763,166.4572,69.01,99,99,6.04,NC,2022-06-22 19:34:58
25,New Norfolk,-42.7826,147.0587,48.92,83,100,2.86,AU,2022-06-22 19:34:58
26,Sitka,57.0531,-135.33,49.89,87,75,4.61,US,2022-06-22 19:34:59
27,Luderitz,-26.6481,15.1594,56.48,73,0,6.29,NA,2022-06-22 19:34:59
28,Albany,42.6001,-73.9662,67.17,80,94,12.91,US,2022-06-22 19:35:00
29,Nantucket,41.2835,-70.0995,69.91,79,20,16.11,US,2022-06-22 19:31:09
30,Port Elizabeth,-33.918,25.5701,61.11,93,0,2.3,ZA,2022-06-22 19:35:00
31,Jibuti,11.5,42.5,92.68,24,100,5.57,DJ,2022-06-22 19:35:00
32,Birao,10.2849,22.7882,78.04,56,1,2.17,CF,2022-06-22 19:35:01
33,Mecca,21.4267,39.8261,86.11,44,18,6.69,SA,2022-06-22 19:32:09
34,Huejotzingo,19.15,-98.4,67.62,52,75,6.91,MX,2022-06-22 19:35:02
35,Bengkulu,-3.8004,102.2655,74.35,94,100,7.72,ID,2022-06-22 19:35:02
36,Nome,64.5011,-165.4064,44.67,93,100,13.8,US,2022-06-22 19:35:03
37,Ancud,-41.8697,-73.8203,45.23,65,84,7.52,CL,2022-06-22 19:35:03
38,Itoman,26.1247,127.6694,81.37,94,20,6.91,JP,2022-06-22 19:35:04
39,San Andres,12.5847,-81.7006,86.02,74,75,14.97,CO,2022-06-22 19:35:04
40,Bredasdorp,-34.5322,20.0403,60.49,70,98,5.75,ZA,2022-06-22 19:34:31
41,Camapua,-19.5314,-54.0439,82.38,44,6,5.21,BR,2022-06-22 19:35:05
42,Kodiak,57.79,-152.4072,60.31,63,0,8.05,US,2022-06-22 19:35:06
43,Inhambane,-23.865,35.3833,67.98,77,40,6.91,MZ,2022-06-22 19:35:07
44,Arraial Do Cabo,-22.9661,-42.0278,82.36,69,0,10.36,BR,2022-06-22 19:35:07
45,Dalbandin,28.8947,64.4101,85.15,10,0,6.49,PK,2022-06-22 19:35:07
46,Emba,48.8264,58.1442,74.68,52,100,8.05,KZ,2022-06-22 19:36:08
47,Faanui,-16.4833,-151.75,80.42,65,12,13.06,PF,2022-06-22 19:36:08
48,Los Llanos De Aridane,28.6585,-17.9182,67.75,82,75,11.5,ES,2022-06-22 19:36:09
49,Padang,-0.9492,100.3543,76.12,88,98,4.36,ID,2022-06-22 19:36:09
50,Itarema,-2.9248,-39.9167,78.69,82,26,12.48,BR,2022-06-22 19:36:10
51,Ferkessedougou,9.6,-5.2,76.15,85,93,3.31,CI,2022-06-22 19:36:10
52,Mataura,-46.1927,168.8643,31.12,77,100,2.93,NZ,2022-06-22 19:36:11
53,Beloha,-25.1667,45.05,61.81,67,68,12.53,MG,2022-06-22 19:36:11
54,Huarmey,-10.0681,-78.1522,68.16,66,12,12.1,PE,2022-06-22 19:36:11
55,Khatanga,71.9667,102.5,50.56,59,100,8.72,RU,2022-06-22 19:36:12
56,Airai,-8.9266,125.4092,54.64,86,71,3.67,TL,2022-06-22 19:36:12
57,Lagoa,39.05,-27.9833,64.33,84,100,15.64,PT,2022-06-22 19:32:53
58,Port Alfred,-33.5906,26.891,60.19,85,91,18.34,ZA,2022-06-22 19:36:13
59,Puerto Escondido,15.85,-97.0667,85.03,58,100,23.02,MX,2022-06-22 19:36:13
60,Chuy,-33.6971,-53.4616,50.43,64,85,12.93,UY,2022-06-22 19:36:14
61,Nikolskoye,59.7035,30.7861,58.91,63,55,0.18,RU,2022-06-22 19:36:14
62,Vaini,-21.2,-175.2,71.76,73,20,10.36,TO,2022-06-22 19:36:15
63,Sulangan,11.1373,123.7228,83.68,69,100,3.22,PH,2022-06-22 19:36:16
64,Shubarkuduk,49.1447,56.4872,72.03,64,99,9.26,KZ,2022-06-22 19:36:16
65,Iwanai,42.9744,140.5089,60.55,85,100,8.88,JP,2022-06-22 19:36:16
66,Sim,54.993,57.6982,55.69,94,65,2.51,RU,2022-06-22 19:36:17
67,Mar Del Plata,-38.0023,-57.5575,49.08,59,75,8.05,AR,2022-06-22 19:34:05
68,Havre-Saint-Pierre,50.2334,-63.5986,57.56,77,100,11.5,CA,2022-06-22 19:36:18
69,Kapaa,22.0752,-159.319,78.78,87,100,12.66,US,2022-06-22 19:36:18
70,Gat,31.61,34.7642,75.88,100,0,4.23,IL,2022-06-22 19:32:02
71,San Patricio,28.017,-97.5169,97.18,36,8,15.79,US,2022-06-22 19:36:19
72,Qandala,11.472,49.8728,90.88,53,21,4.88,SO,2022-06-22 19:36:19
73,Butaritari,3.0707,172.7902,81.12,78,97,10.04,KI,2022-06-22 19:36:20
74,Isiolo,0.3546,37.5822,67.77,66,85,15.9,KE,2022-06-22 19:36:20
75,Klaksvik,62.2266,-6.589,50.92,83,93,26.62,FO,2022-06-22 19:36:20
76,Cockburn Town,21.4612,-71.1419,81.18,74,6,8.55,TC,2022-06-22 19:36:21
77,Hobart,-42.8794,147.3294,49.26,87,75,6.91,AU,2022-06-22 19:31:30
78,Saquarema,-22.92,-42.5103,82.54,77,1,5.46,BR,2022-06-22 19:36:21
79,Jamestown,42.097,-79.2353,89.24,58,20,12.66,US,2022-06-22 19:36:22
80,Saint-Philippe,-21.3585,55.7679,65.79,69,1,5.66,RE,2022-06-22 19:36:22
81,Tecoanapa,16.5167,-98.75,79.56,83,100,8.12,MX,2022-06-22 19:36:23
82,Yellowknife,62.456,-114.3525,66.72,32,75,16.11,CA,2022-06-22 19:36:23
83,Salta,-24.7859,-65.4117,50.59,66,100,2.3,AR,2022-06-22 19:34:35
84,Dongsheng,39.8161,109.9776,67.24,49,0,7.58,CN,2022-06-22 19:36:23
85,Castro,-24.7911,-50.0119,66.72,74,2,8.99,BR,2022-06-22 19:36:24
86,Longyearbyen,78.2186,15.6401,44.44,61,75,17.27,SJ,2022-06-22 19:36:24
87,Hilo,19.7297,-155.09,78.62,94,100,10.36,US,2022-06-22 19:36:25
88,Owando,-0.4819,15.8999,72.73,94,94,1.74,CG,2022-06-22 19:36:26
89,Dikson,73.5069,80.5464,38.01,86,100,15.43,RU,2022-06-22 19:36:26
90,Georgetown,5.4112,100.3354,80.53,92,40,5.99,MY,2022-06-22 19:36:53
91,Norman Wells,65.282,-126.8329,69.84,35,20,9.22,CA,2022-06-22 19:37:27
92,Ribeira Grande,38.5167,-28.7,68.4,73,40,17.27,PT,2022-06-22 19:37:27
93,Puerto Ayora,-0.7393,-90.3518,80.56,89,59,5.99,EC,2022-06-22 19:37:28
94,Hithadhoo,-0.6,73.0833,83.66,70,58,8.72,MV,2022-06-22 19:37:28
95,Pacific Grove,36.6177,-121.9166,84.34,62,0,11.99,US,2022-06-22 19:37:28
96,Kaeo,-35.1,173.7833,43.32,95,1,4.12,NZ,2022-06-22 19:37:29
97,Qingyuan,23.7,113.0333,80.58,95,85,2.42,CN,2022-06-22 19:37:29
98,Marsh Harbour,26.5412,-77.0636,78.53,56,100,13.47,BS,2022-06-22 19:35:33
99,Churapcha,62.0025,132.4325,59.63,66,4,4.32,RU,2022-06-22 19:37:30
100,Najran,17.4924,44.1277,88.45,40,100,6.04,SA,2022-06-22 19:37:30
101,Leningradskiy,69.3833,178.4167,43.66,66,78,9.57,RU,2022-06-22 19:37:31
102,Nouadhibou,20.931,-17.0347,75.18,73,11,14.97,MR,2022-06-22 19:37:31
103,Okhotsk,59.3833,143.3,47.88,92,100,5.35,RU,2022-06-22 19:37:31
104,Katsuura,35.1333,140.3,69.71,95,100,9.51,JP,2022-06-22 19:37:32
105,Sao Joao Da Barra,-21.6403,-41.0511,80.69,83,1,13.33,BR,2022-06-22 19:37:32
106,Kavieng,-2.5744,150.7967,80.65,77,100,4.9,PG,2022-06-22 19:37:32
107,Dingle,10.9995,122.6711,76.75,87,100,4.47,PH,2022-06-22 19:37:32
108,Saint-Pierre,-21.3393,55.4781,65.88,59,0,10.36,RE,2022-06-22 19:37:33
109,Souillac,-20.5167,57.5167,70.18,78,40,11.5,MU,2022-06-22 19:37:33
110,Cape Town,-33.9258,18.4232,60.12,87,0,2.3,ZA,2022-06-22 19:35:41
111,Surt,31.2089,16.5887,76.48,73,0,9.75,LY,2022-06-22 19:37:34
112,Grand Gaube,-20.0064,57.6608,70.2,76,1,4.0,MU,2022-06-22 19:37:34
113,Nalut,30.3333,10.85,92.66,12,0,11.79,LY,2022-06-22 19:37:34
114,Awbari,26.5921,12.7805,92.28,12,0,8.63,LY,2022-06-22 19:37:35
115,Clyde River,70.4692,-68.5914,43.03,81,100,13.8,CA,2022-06-22 19:37:35
116,Senanga,-16.1167,23.2667,59.18,43,0,5.26,ZM,2022-06-22 19:37:35
117,Vestmannaeyjar,63.4427,-20.2734,47.39,76,75,16.11,IS,2022-06-22 19:37:36
118,Prince Rupert,54.3161,-130.3201,53.29,86,100,9.22,CA,2022-06-22 19:37:36
119,Esperance,-33.8667,121.9,57.78,85,0,13.31,AU,2022-06-22 19:37:36
120,Bow Island,49.8668,-111.3684,76.21,41,5,13.8,CA,2022-06-22 19:37:37
121,Zheleznodorozhnyy,55.7503,38.0042,64.81,77,4,7.92,RU,2022-06-22 19:37:38
122,Aras,42.5617,-2.356,72.01,35,20,2.3,ES,2022-06-22 19:37:38
123,Raymond,43.9015,-70.4703,72.19,65,6,11.36,US,2022-06-22 19:37:39
124,Torbay,47.6666,-52.7314,73.89,46,40,18.41,CA,2022-06-22 19:35:34
125,Carnduff,49.1667,-101.8009,79.38,44,13,15.68,CA,2022-06-22 19:37:39
126,Aklavik,68.2191,-135.0107,60.8,59,75,3.44,CA,2022-06-22 19:37:39
127,Severo-Kurilsk,50.6789,156.125,45.14,94,84,16.15,RU,2022-06-22 19:37:40
128,Bubaque,11.2833,-15.8333,82.22,81,98,15.26,GW,2022-06-22 19:37:40
129,Maceio,-9.6658,-35.7353,74.64,83,100,13.8,BR,2022-06-22 19:32:45
130,Taunggyi,20.7833,97.0333,63.48,95,100,3.18,MM,2022-06-22 19:37:40
131,Calw,48.7142,8.7403,68.32,93,96,2.75,DE,2022-06-22 19:37:41
132,Ostrovnoy,68.0531,39.5131,52.29,76,99,10.78,RU,2022-06-22 19:37:41
133,Rio Grande,-32.035,-52.0986,57.31,93,100,17.58,BR,2022-06-22 19:37:42
134,Abeokuta,7.15,3.35,72.14,98,100,5.17,NG,2022-06-22 19:35:04
135,Rio Gallegos,-51.6226,-69.2181,39.25,70,0,19.57,AR,2022-06-22 19:37:42
136,Lompoc,34.6391,-120.4579,79.84,65,0,10.36,US,2022-06-22 19:38:42
137,Moscow,55.7522,37.6156,64.83,73,4,8.72,RU,2022-06-22 19:35:19
138,Atuona,-9.8,-139.0333,78.12,65,78,21.9,PF,2022-06-22 19:38:43
139,Carnarvon,-24.8667,113.6333,68.05,78,5,12.91,AU,2022-06-22 19:38:43
140,Geraldton,-28.7667,114.6,52.21,100,75,13.8,AU,2022-06-22 19:38:44
141,Pukhrayan,26.2333,79.85,96.08,36,14,6.2,IN,2022-06-22 19:38:44
142,Puerto Del Rosario,28.5004,-13.8627,73.15,53,20,16.11,ES,2022-06-22 19:38:44
143,Vardo,70.3705,31.1107,44.58,93,75,10.36,NO,2022-06-22 19:38:45
144,Nedjo,9.5046,35.5019,59.4,96,100,0.89,ET,2022-06-22 19:38:45
145,Moyale,3.5167,39.0584,69.82,65,100,10.27,KE,2022-06-22 19:38:45
146,Muros,42.7762,-9.0603,65.08,81,86,8.48,ES,2022-06-22 19:38:46
147,Okakarara,-20.5833,17.4333,49.51,16,0,7.0,NA,2022-06-22 19:38:46
148,Sao Filipe,14.8961,-24.4956,76.15,87,73,5.08,CV,2022-06-22 19:38:46
149,Ghanzi,-21.5667,21.7833,55.38,39,8,3.13,BW,2022-06-22 19:38:47
150,Parkes,-33.1333,148.1833,47.35,86,80,2.21,AU,2022-06-22 19:38:47
151,The Valley,18.217,-63.0578,87.66,65,20,12.66,AI,2022-06-22 19:38:47
152,Pringsewu,-5.3582,104.9744,72.77,97,100,0.98,ID,2022-06-22 19:38:48
153,Karaton,-6.3424,106.1045,74.25,94,100,1.1,ID,2022-06-22 19:38:48
154,Saint George,37.1041,-113.5841,92.62,11,0,3.44,US,2022-06-22 19:38:48
155,High Level,58.5169,-117.136,59.11,94,100,2.3,CA,2022-06-22 19:35:05
156,Asgabat,37.95,58.3833,85.86,16,0,11.5,TM,2022-06-22 19:38:49
157,Garowe,8.4054,48.4845,79.03,53,90,22.73,SO,2022-06-22 19:38:49
158,Rocha,-34.4833,-54.3333,48.58,72,100,11.12,UY,2022-06-22 19:38:50
159,Ostuni,40.7276,17.5764,78.58,53,3,6.85,IT,2022-06-22 19:38:50
160,Jumla,29.2747,82.1838,57.72,92,9,0.25,NP,2022-06-22 19:38:50
161,Praia Da Vitoria,38.7333,-27.0667,69.76,82,75,14.99,PT,2022-06-22 19:38:51
162,Singaraja,-8.112,115.0882,79.14,79,100,3.38,ID,2022-06-22 19:38:51
163,Labuhan,-6.8844,112.2051,77.07,82,97,7.34,ID,2022-06-22 19:38:52
164,Partenit,44.578,34.3446,65.34,68,34,9.53,UA,2022-06-22 19:38:52
165,Oranjemund,-28.55,16.4333,54.25,86,0,0.6,NA,2022-06-22 19:38:52
166,Tiksi,71.6872,128.8694,39.74,62,10,13.47,RU,2022-06-22 19:38:53
167,Talnakh,69.4865,88.3972,69.21,43,99,4.29,RU,2022-06-22 19:38:53
168,Westport,41.1415,-73.3579,64.11,94,100,9.22,US,2022-06-22 19:38:53
169,Barrow,71.2906,-156.7887,46.42,87,100,9.22,US,2022-06-22 19:38:54
170,Narsaq,60.9167,-46.05,55.62,50,0,2.26,GL,2022-06-22 19:38:54
171,Rafai,4.95,23.9167,68.83,97,50,1.52,CF,2022-06-22 19:38:54
172,Swellendam,-34.0226,20.4417,63.19,58,99,3.62,ZA,2022-06-22 19:38:55
173,La Tuque,47.4334,-72.7824,66.45,77,81,8.05,CA,2022-06-22 19:35:06
174,Sorokino,53.75,84.9167,63.82,96,86,3.65,RU,2022-06-22 19:38:55
175,Pangoa,-12.1167,-73.0,78.48,62,89,3.13,PE,2022-06-22 19:38:55
176,Tasiilaq,65.6145,-37.6368,42.96,77,6,5.3,GL,2022-06-22 19:38:56
177,Port Blair,11.6667,92.75,80.64,83,75,2.3,IN,2022-06-22 19:38:56
178,Ponta Do Sol,32.6667,-17.1,71.01,68,45,8.72,PT,2022-06-22 19:38:56
179,Shwebo,22.5667,95.7,82.17,69,100,13.78,MM,2022-06-22 19:38:57
180,Huntington,38.4193,-82.4452,95.74,55,75,3.44,US,2022-06-22 19:37:38
181,Ust-Tsilma,65.441,52.1498,48.13,73,100,8.14,RU,2022-06-22 19:39:57
182,Nanortalik,60.1432,-45.2371,41.63,75,1,18.88,GL,2022-06-22 19:39:57
183,Qaanaaq,77.484,-69.3632,39.33,61,9,1.19,GL,2022-06-22 19:39:58
184,Laurel,39.0993,-76.8483,86.45,69,40,9.22,US,2022-06-22 19:35:58
185,Kalabo,-14.97,22.6814,60.48,44,0,5.08,ZM,2022-06-22 19:39:58
186,Paka,4.6374,103.4368,75.13,94,100,0.0,MY,2022-06-22 19:39:59
187,Newport,51.5877,-2.9984,75.31,74,2,5.46,GB,2022-06-22 19:38:06
188,Anchorage,61.2181,-149.9003,73.85,55,0,5.75,US,2022-06-22 19:36:27
189,Ketchikan,55.3422,-131.6461,55.94,60,63,4.56,US,2022-06-22 19:35:42
190,Cabedelo,-6.9811,-34.8339,72.27,86,100,8.28,BR,2022-06-22 19:38:15
191,Broken Hill,-31.95,141.4333,51.4,73,75,9.4,AU,2022-06-22 19:39:59
192,Kuytun,54.3419,101.5036,48.99,76,16,5.7,RU,2022-06-22 19:40:00
193,Lantawan,10.6167,123.9833,74.89,82,100,2.15,PH,2022-06-22 19:40:00
194,Zholymbet,51.7433,71.7122,64.31,60,0,9.42,KZ,2022-06-22 19:40:00
195,Cidreira,-30.1811,-50.2056,61.38,94,97,8.61,BR,2022-06-22 19:40:01
196,Vikulovo,56.8167,70.6107,56.91,97,93,11.72,RU,2022-06-22 19:40:01
197,Teguldet,57.3064,88.1667,55.67,98,40,3.87,RU,2022-06-22 19:40:02
198,Yar-Sale,66.8333,70.8333,64.56,67,5,5.48,RU,2022-06-22 19:40:02
199,Guerrero Negro,27.9769,-114.0611,82.9,39,0,14.25,MX,2022-06-22 19:40:03
200,Anqing,30.5092,117.0506,75.24,89,92,6.49,CN,2022-06-22 19:40:03
201,Hobyo,5.3505,48.5268,78.15,82,100,25.66,SO,2022-06-22 19:40:04
202,Salinopolis,-0.6136,-47.3561,81.01,74,93,8.46,BR,2022-06-22 19:40:05
203,Asau,46.4333,26.4,63.52,65,73,3.69,RO,2022-06-22 19:40:05
204,Karratha,-20.7377,116.8463,71.83,39,0,9.98,AU,2022-06-22 19:40:06
205,Green River,41.5286,-109.4662,79.2,18,4,5.99,US,2022-06-22 19:40:06
206,Bambous Virieux,-20.3428,57.7575,70.05,78,40,11.5,MU,2022-06-22 19:40:07
207,Tilichiki,60.4667,166.1,44.15,98,100,1.54,RU,2022-06-22 19:40:07
208,Beringovskiy,63.05,179.3167,46.87,84,100,9.33,RU,2022-06-22 19:40:08
209,Namatanai,-3.6667,152.4333,79.0,81,97,4.81,PG,2022-06-22 19:40:08
210,Santa Maria,-29.6842,-53.8069,58.3,100,75,5.75,BR,2022-06-22 19:37:13
211,Saint-Augustin,51.226,-58.6502,56.17,72,100,15.08,CA,2022-06-22 19:40:09
212,San Cristobal,7.7669,-72.225,84.38,46,16,9.78,VE,2022-06-22 19:37:57
213,Victoria,22.2855,114.1577,85.32,86,37,5.99,HK,2022-06-22 19:38:53
214,Taoudenni,22.6783,-3.9836,104.07,14,14,8.28,ML,2022-06-22 19:40:11
215,East London,-33.0153,27.9116,66.7,77,96,18.9,ZA,2022-06-22 19:40:11
216,Mancio Lima,-7.6142,-72.8958,84.27,70,75,5.75,BR,2022-06-22 19:40:11
217,Poso,-1.3959,120.7524,76.3,84,100,4.14,ID,2022-06-22 19:40:12
218,Sur,22.5667,59.5289,86.72,69,2,20.49,OM,2022-06-22 19:40:13
219,Kamina,-8.7386,24.9906,62.15,50,0,2.33,CD,2022-06-22 19:40:13
220,Marystown,47.1666,-55.1483,59.76,72,27,10.18,CA,2022-06-22 19:40:14
221,Maxixe,-23.8597,35.3472,67.82,77,40,6.91,MZ,2022-06-22 19:40:14
222,Kondinskoye,59.6481,67.41,55.06,90,31,5.39,RU,2022-06-22 19:40:14
223,Along,28.1667,94.7667,74.05,99,99,1.25,IN,2022-06-22 19:40:16
